_id,nombre,frec,edad_media
854,JOSE SANTIAGO,48,42.02
855,MEDARDO,48,45.6
856,NICANOR,48,46.61
857,OSCAR IVAN,48,31.02
858,PAVEL,48,33.92
859,QUIRINO,48,46.38
860,RAMON ANTONIO,48,41.77
861,RAUL ANTONIO,48,42.1
862,SERGIO LUIS,48,35.71
863,VICTOR MANU,48,47.77
864,VICTORIO,48,47.96
865,ANGEL ANTONIO,47,40.21
866,CARLOS GERARDO,47,41.57
867,CARLOS JESUS,47,36.74
868,CUITLAHUAC,47,40.23
869,EDGAR MANUEL,47,36.11
870,GRACIANO,47,46.94
871,JAVIER ANTONIO,47,40.3
872,JORGE GUADALUPE,47,43.74
873,JOSE ASCENCION,47,47.7
874,JOSE HECTOR,47,43.52
875,JUAN FELIPE,47,42.87
876,JUAN SALVADOR,47,34.38
877,MARTIN DE JESUS,47,43.62
878,PAULO CESAR,47,35.04
879,PEDRO LUIS,47,42.12
880,VICTOR JESUS,47,37.62
881,CESAR ARMANDO,46,39.24
882,CRESCENCIANO,46,46.54
883,CRISANTO,46,46.7
884,HEBERTO,46,44.09
885,J CRUZ,46,50.33
886,JAIME ANTONIO,46,45.22
887,JORDAN,46,43.28
888,JOSE BENITO,46,45.28
889,JOSE BENJAMIN,46,45.87
890,JOSE ISIDRO,46,44.26
891,LAURENCIO,46,47.39
892,LEOCADIO,46,46.89
893,LUIS JESUS,46,41.02
894,MARIO CESAR,46,38.98
895,PEDRO JOSE,46,43.5
896,REGULO,46,46.41
897,RICARDO ALBERTO,46,38.07
898,SOCRATES,46,39.24
899,ELIAZAR,45,46.9
900,FRANCISCO DE JESUS,45,37.02
901,FRANCISCO MARTIN,45,45.22
902,JAIME ENRIQUE,45,42.73
903,JORGE ADRIAN,45,36.98
904,JOSE JULIO,45,45.31
905,JOSE LORENZO,45,46.33
906,JOSE RAMIRO,45,42.27
907,JUAN RAUL,45,42.87
908,MIGUEL A,45,49.18
909,OVIDIO,45,42.49
910,ROBERTO ANTONIO,45,38.71
911,JESUS EMMANUEL,44,28.14
912,JORGE OCTAVIO,44,41.04
913,JOSAFAT,44,45.96
914,JOSE JOEL,44,45.93
915,JOSE MARCOS,44,46.48
916,LUIS JORGE,44,43.25
917,MARCO POLO,44,37.31
918,RAUL ALEJANDRO,44,33.39
919,SAULO,44,40.41
920,AGAPITO,43,48.91
921,HECTOR JESUS,43,37.37
922,HUGO ALEJANDRO,43,35.98
923,ISAEL,43,37.77
924,JESUS ISRAEL,43,34
925,JOSE SERGIO,43,47
926,JUAN RAFAEL,43,43.44
927,LAURENTINO,43,48.16
928,OSCAR ANTONIO,43,38.47
929,OSCAR ARTURO,43,38.05
930,PRUDENCIO,43,49.51
931,RAUL ALBERTO,43,39.98
932,VICTOR ALEJANDRO,43,37.3
933,EUTIQUIO,42,48.4
934,FRANCISCO JESUS,42,39.71
935,JORGE MARIO,42,41.5
936,JORGE OMAR,42,36.86
937,JOSE DE LA LUZ,42,49.95
938,JOSE NICOLAS,42,45.14
939,JOSE TOMAS,42,48.14
940,MANUEL ANGEL,42,46.98
941,OSCAR OMAR,42,33.02
942,PAULO,42,44.05
943,POLICARPO,42,48.88
944,RAFAEL ANTONIO,42,38.76
945,SIGIFREDO,42,47.6
946,CARLOS RENE,41,40.95
947,EDEL,41,39.02
948,ENEDINO,41,45.29
949,EUTIMIO,41,47.17
950,JOSE FELICIANO,41,37.85
951,JUAN CARLO,41,39.88
952,MARIO EDUARDO,41,37.12
953,MELESIO,41,50.34
954,OTHON,41,48.17
955,RICARDO ANTONIO,41,40.8
956,WILFREDO,41,40.34
957,YAIR,41,30.54
958,ARSENIO,40,46.15
959,CARLOS DAVID,40,36.73
960,CARLOS RAMON,40,41.54
961,CESAR ARTURO,40,36.65
962,EPIGMENIO,40,46.6
963,EUSTAQUIO,40,49.33
964,HECTOR ARMANDO,40,40.77
965,HECTOR RAUL,40,44.75
966,J. FELIX,40,48.62
967,JOSE FEDERICO,40,44.92
968,JOSE ROGELIO,40,44.45
969,JUAN ALFREDO,40,41.95
970,JUAN BERNARDO,40,36.88
971,LUIS MARIO,40,39.48
972,MAGDIEL,40,36.76
973,MARTIN EDUARDO,40,39.98
974,MIGUEL ALBERTO,40,37.2
975,MIGUEL ENRIQUE,40,41.3
976,NATANAEL,40,36.69
977,NICASIO,40,46.9
978,OSCAR LUIS,40,42.7
979,PROSPERO,40,44.98
980,RUSBEL,40,39.15
981,SERGIO HUMBERTO,40,37.61
982,SERGIO MANUEL,40,41.08
983,TONATIUH,40,34.5
984,VALDEMAR,40,43.15
985,VICTOR M,40,50.33
986,ZENAIDO,40,47.35
987,ABELINO,39,41.9
988,AMBROCIO,39,48.1
989,ANACLETO,39,49.77
990,ANGEL GABRIEL,39,39.92
991,BERSAIN,39,43.64
992,CESAR MANUEL,39,39.77
993,CESAR OMAR,39,33.9
994,EDSON,39,32.41
995,FERNANDO ANTONIO,39,40.95
996,HECTOR ENRIQUE,39,38.31
997,JAVIER ENRIQUE,39,39.18
998,JORGE ALONSO,39,36.21
999,JOSE NATIVIDAD,39,47.44
1000,JOSE RAYMUNDO,39,45.03
1001,LAUREANO,39,50.85
1002,MARCO ANTON,39,45.72
1003,MARIO ALFONSO,39,43.92
1004,OBDULIO,39,48.21
1005,VALERIANO,39,45.64
1006,ANGEL FRANCISCO,38,39.39
1007,ARQUIMEDES,38,39.61
1008,DAVID ANTONIO,38,35.71
1009,DIEGO ALBERTO,38,31.82
1010,EDUARDO ANTONIO,38,42
1011,ENCARNACION,38,49.71
1012,ENRIQUE ALEJANDRO,38,37.58
1013,IVAN ALEJANDRO,38,28.63
1014,JESUS ALONSO,38,36.13
1015,JORGE JAVIER,38,44.47
1016,JOSE ADOLFO,38,43.03
1017,JOSE ASUNCION,38,48.69
1018,JOSE LEONARDO,38,42.66
1019,JOSE ROSARIO,38,46.05
1020,JUAN ARMANDO,38,41.32
1021,MARIO ALONSO,38,43.24
1022,MARTIN ENRIQUE,38,45.95
1023,NEREO,38,42.39
1024,NICANDRO,38,45.79
1025,PEDRO FRANCISCO,38,37.03
1026,RACIEL,38,42.29
1027,TRANQUILINO,38,48.41
1028,VICTOR MIGUEL,38,38.05
1029,ABDON,37,46.97
1030,AQUILEO,37,45.05
1031,AQUILES,37,44.92
1032,ARIOSTO,37,46.03
1033,AUSTREBERTO,37,45.73
1034,CELEDONIO,37,48.84
1035,EDGAR ALBERTO,37,34.7
1036,FILOMENO,37,47.05
1037,FRANCISCO GERARDO,37,44.49
1038,GERARDO DE JESUS,37,43.38
1039,GUSTAVO ALONSO,37,37.49
1040,HECTOR MARTIN,37,44.22
1041,ISRRAEL,37,41.43
1042,JAIME ARTURO,37,42.76
1043,JOSE ROMAN,37,42.81
1044,JUAN GILBERTO,37,42.19
1045,LORENZO ANTONIO,37,32.78
1046,ONOFRE,37,46.05
1047,OSCAR ARMANDO,37,39.38
1048,SERGIO EDUARDO,37,37.05
1049,VENTURA,37,47.34
1050,VICTOR MAN,37,45.22
1051,ASAEL,36,40.35
1052,CARLOS GABRIEL,36,37.31
1053,ESEQUIEL,36,44.69
1054,FRANCISCO RAFAEL,36,39.86
1055,HECTOR DAVID,36,38.39
1056,HECTOR GERARDO,36,41.72
1057,HERMES,36,37.49
1058,J LUIS,36,50.22
1059,J. ISABEL,36,49.08
1060,J. TRINIDAD,36,50.81
1061,JESUS GUILLERMO,36,40.89
1062,JESUS OMAR,36,33.49
1063,JOSE AURELIO,36,49.5
1064,JOSE CANDELARIO,36,43.25
1065,JUAN DE JESUS,36,39.67
1066,MACEDONIO,36,47.31
1067,MARIO DE JESUS,36,40.69
1068,OTHONIEL,36,37.61
1069,PABLO ANTONIO,36,44.44
1070,PALEMON,36,46.97
1071,RUBISEL,36,41.27
1072,SINUHE,36,34
1073,ADALID,35,36.42
1074,ALBERTO JORGE,35,33.14
1075,ALEX,35,35.84
1076,DAVID ALBERTO,35,38
1077,FERNANDO JAVIER,35,42.6
1078,GERARDO ANTONIO,35,39.8
1079,HECTOR ALFONSO,35,38.86
1080,HECTOR IVAN,35,33.29
1081,HUGO ANTONIO,35,41.66
1082,J. CRUZ,35,50.97
1083,JESUS IGNACIO,35,41.5
1084,JORGE FERNANDO,35,42.8
1085,JOSE RIGOBERTO,35,43.17
1086,JUAN ERNESTO,35,41.66
1087,JUAN HUMBERTO,35,45.11
1088,LUCINO,35,48.06
1089,MARIO JESUS,35,43.26
1090,MARTIN GERARDO,35,44
1091,NETZAHUALCOYOTL,35,36.74
1092,ROEL,35,38.26
1093,SERGIO JAVIER,35,44
1094,SOCORRO,35,47.02
1095,ANGEL MANUEL,34,39.53
1096,BARDOMIANO,34,46.97
1097,CARLOS ALONSO,34,39.06
1098,EVENCIO,34,45.35
1099,GERMAIN,34,31.47
1100,GUMERCINDO,34,47.26
1101,HECTOR FRANCISCO,34,39.32
1102,HILARION,34,46.18
1103,HUGO ARMANDO,34,35.68
1104,J ANTONIO,34,50.94
1105,JOSE BERNARDO,34,43.09
1106,JOSE CESAR,34,42.24
1107,JOSE ISAAC,34,44.32
1108,JOSE MOISES,34,44.44
1109,JOSE SAUL,34,44.21
1110,JUAN MARCOS,34,41.71
1111,JUAN MARIO,34,45.26
1112,PETRONILO,34,48.94
1113,RAMSES,34,34.33
1114,RAUL ARMANDO,34,44.89
1115,RUBEN ALEJANDRO,34,35.12
1116,XAVIER,34,39.44
1117,ANGEL ALBERTO,33,40.18
1118,ANGEL DE JESUS,33,31.58
1119,CUPERTINO,33,44.79
1120,DARWIN,33,36.76
1121,EDEN,33,36.91
1122,EDGAR JESUS,33,31.52
1123,EDGAR ULISES,33,33.94
1124,EUSTACIO,33,47.48
1125,FERNANDO ENRIQUE,33,43.67
1126,GEOVANNI,33,29.12
1127,GORGONIO,33,47.94
1128,JORGE RAUL,33,41.91
1129,JOSE ANTONI,33,45.52
1130,JOSE DE JESU,33,48.39
1131,JOSE HERIBERTO,33,43.15
1132,JOSE HILARIO,33,45.39
1133,MARCO VINICIO,33,40.64
1134,MELECIO,33,45.39
1135,PABLO ALBERTO,33,38.09
1136,PEDRO DAMIAN,33,35.79
1137,PEDRO DE JESUS,33,36.91
1138,PLUTARCO,33,45.7
1139,RAUL EDUARDO,33,39.36
1140,RICARDO JAVIER,33,41.58
1141,SALOME,33,44.39
1142,SILVIO,33,45.82
1143,VENUSTIANO,33,48.56
1144,BAUDELIO,32,48.03
1145,CARLOS HUGO,32,45.59
1146,CARLOS IGNACIO,32,36.38
1147,FRANCISC,32,48.89
1148,FROILAN,32,44.03
1149,GELASIO,32,43.5
1150,GODOFREDO,32,49.66
1151,HELEODORO,32,46.62
1152,JAVIER EDUARDO,32,34.22
1153,JESUS OCTAVIO,32,45.19
1154,JORGE ANDRES,32,41.84
1155,JOSE AUGUSTO,32,35.94
1156,JOSE GERMAN,32,41.72
1157,JOSE VALENTIN,32,41.25
1158,LUIS GILBERTO,32,38.25
1159,MARIO ALFREDO,32,44.06
1160,MARTIN ALBERTO,32,39.85
1161,NESTOR DANIEL,32,30.47
1162,NOLBERTO,32,43.38
1163,ORBELIN,32,42.19
1164,OSCAR DAVID,32,36.22
1165,OSCAR FRANCISCO,32,39.88
1166,PEDRO ALEJANDRO,32,35.72
1167,ROBERTO DE JESUS,32,39.06
1168,ALAIN,31,33.06
1169,ANGEL MARIO,31,42.59
1170,CARLOS FELIPE,31,41.03
1171,CARLOS JOSE,31,43.52
1172,CASTULO,31,50.19
1173,EDGAR ANTONIO,31,32.97
1174,ESPIRIDION,31,50.69
1175,EUSTORGIO,31,50.06
1176,FELIPE NERI,31,44.53
1177,FRANCISCO MIGUEL,31,40.77
1178,HECTOR ANTONIO,31,42.26
1179,HECTOR MARIO,31,45.13
1180,HENRY,31,34.55
1181,HERLINDO,31,45.23
1182,HONORATO,31,47.06
1183,JESUS RENE,31,40.74
1184,JOB,31,44.55
1185,JOHNNY,31,32.19
1186,JORGE RAFAEL,31,40.09
1187,JOSE ALVARO,31,46.1
1188,JOSE DE LA CRUZ,31,42.61
1189,JUAN ALFONSO,31,40.35
1190,MANUEL ALFONSO,31,39.1
1191,MARCO ANTO,31,47.48
1192,MARIN,31,44.71
1193,MARIO LUIS,31,44.65
1194,MARTIN ALEJANDRO,31,35.42
1195,SERAPIO,31,50.61
1196,SEVERINO,31,48.71
1197,WILLIAMS,31,33.71
1198,ADULFO,30,43.87
1199,AMANCIO,30,51
1200,ANCELMO,30,46.07
1201,BIBIANO,30,47.87
1202,CESAR MARTIN,30,40.13
1203,EUCARIO,30,47.37
1204,FCO JAVIER,30,52.39
1205,FELIPE ANTONIO,30,41.7
1206,FRANKLIN,30,41.07
1207,GUILLERMO ANTONIO,30,40.97
1208,HECTOR FERNANDO,30,42.47
1209,HERMAN,30,42.67
1210,JAIME EDUARDO,30,40.1
1211,JORGE GABRIEL,30,38.5
1212,JOSE GONZALO,30,43.93
1213,JOSE ROSENDO,30,42.67
1214,JUAN ESTEBAN,30,40
1215,MANUEL FRANCISCO,30,42.37
1216,NEMORIO,30,48.13
1217,OSCAR HUGO,30,35.67
1218,SALATIEL,30,43.58
1219,SANDRO,30,36.27
1220,TOBIAS,30,45.65
1221,VICTOR RAUL,30,45.5
1222,ABDIEL,29,36.7
1223,ANGEL LUIS,29,40.86
1224,CARLOS DE JESUS,29,40.52
1225,CARLOS GUADALUPE,29,38.07
1226,DIDIER,29,38.58
1227,DIMAS,29,46.06
1228,EDGAR DANIEL,29,33
1229,FILADELFO,29,47.14
1230,FLAVIANO,29,46.41
1231,GERSON,29,34.86
1232,HAZAEL,29,35.45
1233,JAVIER ARMANDO,29,41.03
1234,JESUS GABRIEL,29,36.52
1235,JORGE ALFONSO,29,47.28
1236,JORGE MIGUEL,29,40.9
1237,JOSE DARIO,29,44.1
1238,JOSE FABIAN,29,38.53
1239,JUAN GUADALUPE,29,41.14
1240,JUAN VICTOR,29,45.79
1241,LUIS RODOLFO,29,42.34
1242,MANOLO,29,39.76
1243,MARTIN FRANCISCO,29,46.83
1244,PEDRO ENRIQUE,29,41.9
1245,RAFAEL ALEJANDRO,29,36.86
1246,RAUL HUMBERTO,29,47.24
1247,VIRGINIO,29,46.97
1248,ANASTASIO,28,52.07
1249,ANGEL IVAN,28,30.71
1250,ARTURO JAVIER,28,44.39
1251,AXEL,28,34.11
1252,CAIN,28,42.82
1253,CARLOS RAUL,28,40.32
1254,CASIANO,28,44.32
1255,CENOBIO,28,49.36
1256,DAVID EDUARDO,28,37.11
1257,DAVID ENRIQUE,28,36.11
1258,DOMITILO,28,45.07
1259,EDDY,28,41.24
1260,EDUARDO JAVIER,28,39.14
1261,ENRIQUE ALBERTO,28,36.75
1262,GABRIEL ALEJANDRO,28,31.86
1263,GEOVANI,28,32.1
1264,HECTOR LUIS,28,43.43
1265,JESUS CARLOS,28,38.71
1266,JESUS RAUL,28,42.96
1267,JORGE ADALBERTO,28,45.46
1268,JORGE JESUS,28,39.18
1269,JOSE ARIEL,28,44.96
1270,JOSE ELEAZAR,28,45.29
1271,JOSE ISAIAS,28,43.43
1272,JUAN DE LA CRUZ,28,48.34
1273,MARIO IVAN,28,34.14
1274,MIGUEL EDUARDO,28,39.54
1275,NEMECIO,28,45.96
1276,PEDRO MANUEL,28,44.29
1277,RAQUEL,28,42.84
1278,REGINALDO,28,43.21
1279,RICARDO ARTURO,28,40.61
1280,ABNER,27,32.86
1281,BACILIO,27,45.48
1282,BERTOLDO,27,48.11
1283,CESAR DAVID,27,35.67
1284,CESAR HUMBERTO,27,40.67
1285,CESAR JAVIER,27,38.7
1286,CHRISTIAN IVAN,27,29.67
1287,CLISERIO,27,48.04
1288,CONSTANCIO,27,46.63
1289,CUAHUTEMOC,27,43.3
1290,EDGAR ARTURO,27,34.81
1291,ELIO,27,41.78
1292,FRANCISCO DANIEL,27,36.41
1293,HECTOR ALONSO,27,37.19
1294,HUBERTO,27,47.22
1295,HUGO IVAN,27,30.81
1296,IRAM,27,38.63
1297,J. SANTOS,27,53.96
1298,JESUS ABRAHAM,27,35.11
1299,JESUS HECTOR,27,45.41
1300,JORGE RICARDO,27,38.81
1301,JOSE ULISES,27,36.44
1302,JULIO ENRIQUE,27,37.81
1303,LORETO,27,48.95
1304,LUIS RAFAEL,27,42.11
1305,MANUEL HUMBERTO,27,45.11
1306,MARCO ARTURO,27,37.22
1307,MARIO FRANCISCO,27,44.78
1308,MILTON CARLOS,27,33.89
1309,NICEFORO,27,46.11
1310,OZIEL,27,36.54
1311,PEDRO JAVIER,27,41.52
1312,REYNOL,27,43.04
1313,VALERIO,27,47.48
1314,VICTOR EDUARDO,27,34.48
1315,VICTOR MARTIN,27,46.22
1316,AMERICO,26,46.58
1317,ARISTIDES,26,43.17
1318,CARLOS GUSTAVO,26,38.23
1319,CARLOS RUBEN,26,43.04
1320,DIOGENES,26,46.96
1321,EDGAR ADRIAN,26,31.08
1322,EDGAR FRANCISCO,26,33.23
1323,FRANCISCO XAVIER,26,40.62
1324,HILDEBERTO,26,46.27
1325,INES,26,44.96
1326,JAIME ALEJANDRO,26,37.69
1327,JAVIER ALONSO,26,37.12
1328,JORGE ROBERTO,26,38.73
1329,JOSE ADALBERTO,26,41.77
1330,JOSE MARCELINO,26,48.5
1331,JOSE MARGARITO,26,48.85
1332,JOSE MAURICIO,26,38.31
1333,LUIS OMAR,26,35.73
1334,LUIS RENE,26,41.12
1335,LUIS RUBEN,26,44.58
1336,MANUEL EDUARDO,26,38.73
1337,MARTIN GUADALUPE,26,45.35
1338,MARTIN JAVIER,26,45.58
1339,MIGUEL AN,26,46.54
1340,MIGUEL ARTURO,26,39.77
1341,MIGUEL FRANCISCO,26,43.73
1342,NARCIZO,26,46.12
1343,OSCAR HUMBERTO,26,42.38
1344,PEDRO ARTURO,26,39.5
1345,PEDRO IVAN,26,29.08
1346,PEDRO JESUS,26,40.54
1347,RAMON ENRIQUE,26,42.65
1348,REINALDO,26,46.35
1349,SERGIO ALFREDO,26,39.92
1350,SERGIO DAVID,26,38.27
1351,SOSTENES,26,50.42
1352,VICTOR ARMANDO,26,40.27
1353,VICTOR ENRIQUE,26,38.35
1354,WILBERTH,26,39
1355,AGRIPINO,25,48.4
1356,ALFONZO,25,45
1357,ARCENIO,25,47.88
1358,BUENAVENTURA,25,48.43
1359,CRESENCIO,25,44.76
1360,EDGAR GERARDO,25,30.08
1361,EDGAR JAVIER,25,34.16
1362,EDUARDO ALEJANDRO,25,34.68
1363,ELENO,25,45.84
1364,ERVIN,25,40.92
1365,FABRICIO,25,41.04
1366,FERNANDO ALBERTO,25,36.96
1367,FRUCTUOSO,25,51.68
1368,GABRIEL ANTONIO,25,43.56
1369,GERARDO ALBERTO,25,36.84
1370,HUGO ARTURO,25,40.68
1371,IDELFONSO,25,39.12
1372,IRAN,25,36.15
1373,J ASCENCION,25,55.64
1374,J CONCEPCION,25,50.32
1375,J DOLORES,25,51.42
1376,JESUS ADOLFO,25,41.48
1377,JORGE DANIEL,25,36.88
1378,JOSE FIDEL,25,49.16
1379,JOSE LEONEL,25,42.84
1380,JOSE LEOPOLDO,25,47.08
1381,JOSE ORLANDO,25,42.08
1382,JOSE PILAR,25,45.24
1383,JOSELITO,25,43.92
1384,JULIO ALFONSO,25,45.96
1385,LUIS ANDRES,25,36
1386,MANUEL ARTURO,25,40.84
1387,MIGUEL DE JESUS,25,37.8
1388,OSCAR RENE,25,39.08
1389,RAUL ENRIQUE,25,45.08
1390,REYNEL,25,39.84
1391,ROBERTO ALEJANDRO,25,38.88
1392,ROBERTO JAVIER,25,43.92
1393,ROGERIO,25,45.32
1394,ROMMEL,25,37.08
1395,SANTANA,25,46.71
1396,SERGIO RAFAEL,25,39.56
1397,SIMEON,25,46.6
1398,AGUSTIN JAIME,24,45.33
1399,ALBERTO ANTONIO,24,40.17
1400,ALEJANDRO DE JESUS,24,36.04
1401,ARTURO ALEJANDRO,24,34.12
1402,CIRINO,24,48.83
1403,DANIEL ARTURO,24,33.62
1404,DOLORES,24,44.82
1405,EMIR,24,39
1406,FRANCISCO ARMANDO,24,40.83
1407,FRANCISCO RAMON,24,42.42
1408,GUMERSINDO,24,48.62
1409,JORGE MARTIN,24,45.12
1410,JOSE LEON,24,47.75
1411,JOSE LINO,24,45.54
1412,JOSE PATRICIO,24,45.62
1413,JUAN JORGE,24,45.83
1414,LEONARDO DANIEL,24,27.67
1415,LUIS CESAR,24,41.36
1416,LUIS LAURO,24,44.83
1417,MICHEL,24,30.86
1418,NEPTALI,24,41.67
1419,OMAR FRANCISCO,24,33.71
1420,RICARDO DE JESUS,24,39.38
1421,RODULFO,24,46.79
1422,ROSEMBERG,24,42.04
1423,RUBEN ANTONIO,24,40.71
1424,SERGIO ADRIAN,24,39.96
1425,VICTOR FRANCISCO,24,41.79
1426,ANGEL JAVIER,23,38.3
1427,ANGEL ROBERTO,23,39.52
1428,BOLIVAR,23,45.88
1429,EDGAR NOE,23,34.09
1430,EDY,23,42.67
1431,ERIBERTO,23,37.91
1432,FELIPE ALEJANDRO,23,37.43
1433,FERNANDO DE JESUS,23,35.52
1434,FRANCISCO ARTURO,23,37.83
1435,FRANCISCO ROBERTO,23,42.61
1436,GALILEO,23,38.74
1437,GEREMIAS,23,42.08
1438,GUSTAVO ENRIQUE,23,39
1439,HECTOR RAMON,23,38.26
1440,JAVIER DE JESUS,23,37.57
1441,JIMMY,23,35.13
1442,JORGE DE JESUS,23,39.3
1443,JOSE ABELARDO,23,43.17
1444,JOSE DE JES,23,47.61
1445,JOSE EFREN,23,43.57
1446,JOSE EUGENIO,23,46.91
1447,JOSE FILIBERTO,23,43.96
1448,JOSE REYNALDO,23,43.35
1449,JUAN ISIDRO,23,46.35
1450,JULIO CESA,23,40.39
1451,LUIS ESTEBAN,23,41.22
1452,MARDONIO,23,44.13
1453,MARTIN JESUS,23,44.13
1454,OSCAR ADRIAN,23,31.13
1455,OSCAR MARTIN,23,39.7
1456,PABLO ENRIQUE,23,36.78
1457,PRIMO,23,50.74
1458,PROCORO,23,49.26
1459,RAFAEL ALBERTO,23,40.65
1460,RAUDEL,23,42
1461,RAUL GERARDO,23,37.87
1462,RENAN,23,44
1463,SERGIO ALONSO,23,40.17
1464,TEODULFO,23,44.74
1465,VICTOR ALBERTO,23,37.39
1466,WILLEBALDO,23,41.96
1467,ABISAI,22,34.08
1468,ADIEL,22,41.41
1469,ARGELIO,22,42.14
1470,BENEDICTO,22,46.05
1471,CARLOS OCTAVIO,22,38.91
1472,DANIEL EDUARDO,22,35.77
1473,DELMAR,22,41.73
1474,EBER,22,37.27
1475,EDGAR ARMANDO,22,33.55
1476,EDGAR ENRIQUE,22,32.82
1477,ENRIQUE JAVIER,22,43.14
1478,ERNESTO ALEJANDRO,22,37.64
1479,ERWIN,22,32.05
1480,FRANCISCO GUADALUPE,22,42.78
1481,GUILEBALDO,22,42.32
1482,HECTOR OMAR,22,35.09
1483,HERNANDO,22,47.05
1484,J. ASCENCION,22,51.68
1485,JESUS ANDRES,22,41.09
1486,JESUS ARIEL,22,43.05
1487,JOSE ANTON,22,48.55
1488,JOSE GUADALU,22,49.77
1489,JOSE MARIANO,22,44.5
1490,JOSE MAURO,22,47.55
1491,JOSE NOEL,22,39.55
1492,JUAN CARL,22,43.77
1493,JUAN SERGIO,22,44.83
1494,JULIO ALEJANDRO,22,37.45
1495,MANUEL ARMANDO,22,43
1496,MARIO JAVIER,22,44.41
1497,MARTIN ALONSO,22,43.27
1498,MARVIN,22,31.78
1499,MONICO,22,46.73
1500,NEHEMIAS,22,43.83
1501,OFELIO,22,47.14
1502,OSCAR MIGUEL,22,36.18
1503,PEDRO ALFONSO,22,44
1504,PEDRO MIGUEL,22,38
1505,QUINTIN,22,49.5
1506,RICHARD,22,34.09
1507,VICTOR RAMON,22,40.95
1508,WULFRANO,22,49.91
1509,ALBERT,21,35.24
1510,ANGEL ALFONSO,21,43.24
1511,ANGEL DANIEL,21,35.86
1512,ATENOGENES,21,43.57
1513,BONFILIO,21,46.43
1514,CARMELINO,21,41.48
1515,CEFERINO,21,43.14
1516,CESAR ADRIAN,21,31.95
1517,CESAR GUILLERMO,21,37.24
1518,DANIEL ENRIQUE,21,38.57
1519,EDUARDO JOSE,21,44.33
1520,ELICEO,21,45.52
1521,ENRIQUE DE JESUS,21,43.33
1522,FILIMON,21,44.86
1523,FRANCISCO GABRIEL,21,39.05
1524,GUADALUPE DE JESUS,21,39.67
1525,GUILLERMO ALBERTO,21,43.57
1526,HUGO EDUARDO,21,35.81
1527,JAVIER ARTURO,21,39.14
1528,JAVIER FRANCISCO,21,42.1
1529,JESUS LEONARDO,21,39.52
1530,JESUS RODOLFO,21,40.62
1531,JORGE ARIEL,21,42.62
1532,JORGE RAMON,21,40.95
1533,JOSE ARNULFO,21,45.62
1534,JOSE CUAUHTEMOC,21,42.81
1535,JOSE ELISEO,21,46.9
1536,JOSE GUADALUP,21,47.57
1537,JOSE ROLANDO,21,40.71
1538,JOSE SAMUEL,21,44.33
1539,JUAN ADOLFO,21,41.24
1540,JUAN M,21,51.48
1541,JULIAN JAVIER,21,40.86
1542,LISANDRO,21,41.86
1543,LUIS GUSTAVO,21,39.38
1544,LUIS HECTOR,21,41.09
1545,MACLOVIO,21,46.48
1546,MANUEL DE ATOCHA,21,41.33
1547,MANUEL GERARDO,21,45.71
1548,MARCO,21,41
1549,MARIO ERNESTO,21,39
1550,MARTIN ALFONSO,21,44.86
1551,MARTIN JAIME,21,47.57
1552,OCIEL,21,40.23
1553,OMAR ARTURO,21,33.19
1554,OSCAR GERARDO,21,40.29
1555,OSCAR RAUL,21,39.62
1556,RAUL ERNESTO,21,36.33
1557,SECUNDINO,21,49.14
1558,VICTOR FERNANDO,21,43.81
1559,VINICIO,21,44.24
1560,XICOTENCATL,21,38.48
1561,ANATOLIO,20,45.25
1562,ANGEL DAVID,20,37.1
1563,ATILANO,20,44.85
1564,AUDOMARO,20,47.7
1565,CRECENCIO,20,45.9
1566,CRISTHIAN,20,28.92
1567,DANIEL ANTONIO,20,35.85
1568,EDGAR RENE,20,34.95
1569,ERICK ALEJANDRO,20,28.3
1570,FRANCISCO ENRIQUE,20,42.95
1571,FRANCISCO FERNANDO,20,43.5
1572,GERARDO ARTURO,20,41.7
1573,GERARDO JAVIER,20,43.15
1574,GUILLERMO ALEJANDRO,20,39.55
1575,HECTOR RAFAEL,20,40.55
1576,HUBER,20,42.05
1577,J. CONCEPCION,20,51.35
1578,J.JESUS,20,46.6
1579,JEHU,20,37.7
1580,JESUS EDGAR,20,36.3
1581,JORGE ESTEBAN,20,42.3
1582,JORGE IGNACIO,20,38.7
1583,JORGE ISAAC,20,33.2
1584,JORGE ISRAEL,20,34.6
1585,JOSE AARON,20,38.8
1586,JOSE EDMUNDO,20,44.75
1587,JOSE FRANCISC,20,47.65
1588,JOSE HORACIO,20,46.6
1589,JOSE OSVALDO,20,34.1
1590,JOSE OSWALDO,20,37.86
1591,JOSE TEODORO,20,48.5
1592,JUAN AGUSTIN,20,45.9
1593,JUAN GUSTAVO,20,46.4
1594,JUAN RENE,20,41.15
1595,JUAN VICENTE,20,43.95
1596,LEONOR,20,45.71
1597,LUIS BERNARDO,20,40.52
1598,LUIS IVAN,20,31.55
1599,MARIO ARMANDO,20,41.35
1600,MARTIN FERNANDO,20,45.6
1601,OBET,20,38.25
1602,ORACIO,20,42.45
1603,OSIRIS,20,32.94
1604,PEDRO CESAR,20,39.25
1605,RAMON DE JESUS,20,36.86
1606,RAMON FRANCISCO,20,45.2
1607,RAUL ARTURO,20,42.45
1608,RICARDO ALFONSO,20,42.4
1609,RICARDO DANIEL,20,29.9
1610,RICARDO MANUEL,20,44.6
1611,ROGACIANO,20,46.8
