_id,apellido,frec_pri,frec_seg
1073,ZU!IGA,122,100
1074,ARZOLA,121,142
1075,CAUDILLO,121,107
1076,COUTIÏ¿½O,121,126
1077,MACHADO,121,134
1078,MANZANARES,121,120
1079,OLIVO,121,157
1080,RAFAEL,121,109
1081,ASTORGA,120,155
1082,PINEDO,120,100
1083,RICARDEZ,120,142
1084,SAINZ,120,97
1085,VITAL,120,117
1086,BIBIANO,119,106
1087,MACHUCA,119,164
1088,MANZANAREZ,119,103
1089,MORGADO,119,137
1090,OSORNIO,119,117
1091,PICAZO,119,117
1092,TAMEZ,119,132
1093,ESPADAS,118,103
1094,NAAL,118,116
1095,SAN JUAN,118,104
1096,SANABRIA,118,114
1097,TOBON,118,98
1098,COELLO,117,132
1099,DANIEL,117,106
1100,ESCALERA,117,87
1101,ESPEJEL,117,134
1102,MUNDO,117,88
1103,SILVESTRE,117,131
1104,TREVINO,117,117
1105,ARAMBULA,116,94
1106,BORREGO,116,95
1107,ARELLANES,115,117
1108,BORBON,115,111
1109,CERQUEDA,115,49
1110,MUÏ¿½OZ,115,132
1111,PATRON,115,103
1112,SOLARES,115,111
1113,BARBOZA,114,138
1114,DE LA VEGA,114,85
1115,FARRERA,114,90
1116,GILES,114,110
1117,PIEDRA,114,134
1118,POPOCA,114,104
1119,SABIDO,114,99
1120,AGUILLON,113,102
1121,LARRAGA,113,89
1122,LOAEZA,113,117
1123,LORA,113,99
1124,MALPICA,113,85
1125,SOBERANES,113,109
1126,BANUELOS,112,96
1127,BAZALDUA,112,115
1128,BRICENO,112,92
1129,BURCIAGA,112,81
1130,MARIANO,112,99
1131,PIÑON,112,126
1132,TOPETE,112,113
1133,AVELAR,111,114
1134,DE ANDA,111,144
1135,HERVERT,111,86
1136,LLANES,111,107
1137,SEDANO,111,103
1138,TORREBLANCA,111,111
1139,VALDERRAMA,111,115
1140,VALENTE,111,101
1141,APODACA,110,103
1142,BEDOLLA,110,116
1143,CANCHOLA,110,85
1144,ESTEVEZ,110,109
1145,GERMAN,110,85
1146,ROSARIO,110,146
1147,TRISTAN,110,101
1148,URRUTIA,110,121
1149,VILLASANA,110,128
1150,CELESTINO,109,90
1151,CHAIREZ,109,122
1152,MONTENEGRO,109,105
1153,MONTERRUBIO,109,126
1154,MONZON,109,113
1155,URBANO,109,125
1156,ALANIZ,108,119
1157,AZPEITIA,108,63
1158,FELICIANO,108,133
1159,LORIA,108,96
1160,MADERA,108,112
1161,CASTILLA,107,111
1162,CHINO,107,120
1163,COCOM,107,94
1164,COSME,107,115
1165,FABELA,107,122
1166,GANDARA,107,107
1167,MUJICA,107,93
1168,GOVEA,106,116
1169,LONGORIA,106,123
1170,NUÏ¿½EZ,106,87
1171,PERDOMO,106,102
1172,RUANO,106,77
1173,SERRALDE,106,116
1174,TAVERA,106,82
1175,CACERES,105,107
1176,ESQUEDA,105,110
1177,VELOZ,105,91
1178,ALBERTO,104,74
1179,MARBAN,104,126
1180,MONTEMAYOR,104,111
1181,PEREDA,104,92
1182,PEÑALOZA,104,100
1183,TOMAS,104,116
1184,YESCAS,104,107
1185,ABRAJAN,103,120
1186,ARGAEZ,103,80
1187,BUITIMEA,103,126
1188,CADENAS,103,70
1189,DE LA LUZ,103,107
1190,DEL,103,112
1191,DIONICIO,103,117
1192,HUIZAR,103,84
1193,MALAGON,103,105
1194,MELLADO,103,69
1195,NIEBLAS,103,84
1196,OSORNO,103,93
1197,PE!A,103,95
1198,POSADA,103,126
1199,VICTORIANO,103,97
1200,ESLAVA,102,104
1201,EVANGELISTA,102,101
1202,RAYON,102,88
1203,BERNARDINO,101,114
1204,DUQUE,101,76
1205,MELGAR,101,78
1206,NOCHEBUENA,101,110
1207,OREA,101,93
1208,PUEBLA,101,91
1209,UCAN,101,110
1210,ALEJANDRE,100,103
1211,CAZAREZ,100,119
1212,DEL TORO,100,135
1213,DELFIN,100,103
1214,HDEZ,100,127
1215,MOSSO,100,91
1216,PASCACIO,100,70
1217,QUIJADA,100,107
1218,RAYGOZA,100,101
1219,VALDIVIESO,100,145
1220,FLOTA,99,74
1221,LOYOLA,99,118
1222,MUÃ¿OZ,99,93
1223,ZUMAYA,99,100
1224,DE PAZ,98,74
1225,ESQUER,98,146
1226,GRAJEDA,98,116
1227,INTERIAN,98,81
1228,LEY,98,57
1229,MEX,98,76
1230,TEJADA,98,93
1231,BONIFACIO,97,44
1232,CALDERA,97,116
1233,DOLORES,97,141
1234,ORIHUELA,97,100
1235,SIBAJA,97,99
1236,TABOADA,97,87
1237,GARFIAS,96,91
1238,JESUS,96,148
1239,RABAGO,96,106
1240,ROSETE,96,96
1241,TOLEDANO,96,73
1242,VILLALVAZO,96,100
1243,ZAMARRON,96,105
1244,HAU,95,76
1245,LABASTIDA,95,95
1246,SEGOVIANO,95,63
1247,VILLASENOR,95,68
1248,ARANGO,94,87
1249,BRACAMONTES,94,66
1250,CARDOZA,94,87
1251,VIVANCO,94,85
1252,YAH,94,111
1253,ANCONA,93,96
1254,LUMBRERAS,93,67
1255,MORIN,93,114
1256,MUNIVE,93,95
1257,PIOQUINTO,93,60
1258,SANJUAN,93,84
1259,CARCAMO,92,91
1260,CENICEROS,92,131
1261,CORAL,92,113
1262,CORNELIO,92,112
1263,GLORIA,92,119
1264,LLANOS,92,101
1265,OLALDE,92,120
1266,PATINO,92,91
1267,PINTOR,92,72
1268,VENANCIO,92,96
1269,BARON,91,55
1270,ECHAVARRIA,91,70
1271,ZARAZUA,91,83
1272,ALPIZAR,90,74
1273,BORJAS,90,79
1274,CASIANO,90,82
1275,COSIO,90,109
1276,ESPITIA,90,119
1277,GUILLERMO,90,104
1278,URZUA,90,96
1279,ALPUCHE,89,54
1280,ARECHIGA,89,83
1281,CARRANCO,89,42
1282,GARDEA,89,67
1283,LANDIN,89,75
1284,NAPOLES,89,72
1285,PEDRO,89,129
1286,SANSORES,89,94
1287,SILVERIO,89,101
1288,TORIBIO,89,116
1289,TOVILLA,89,76
1290,AUSTRIA,88,88
1291,AVIÑA,88,105
1292,BERUMEN,88,126
1293,CAHUICH,88,68
1294,COBIAN,88,98
1295,COLLAZO,88,55
1296,NOGUEZ,88,81
1297,PEÏ¿½A,88,64
1298,RABADAN,88,87
1299,VILLALVA,88,125
1300,CESPEDES,87,76
1301,CORTINA,87,88
1302,MONTAÑEZ,87,82
1303,PENAGOS,87,89
1304,ABUNDIS,86,94
1305,AGUADO,86,89
1306,CANTERO,86,84
1307,DORADO,86,102
1308,LEPE,86,94
1309,RESENDEZ,86,115
1310,SANTES,86,96
1311,TEC,86,96
1312,UGARTE,86,71
1313,ZARCO,86,110
1314,ALQUICIRA,85,70
1315,CABRALES,85,79
1316,CARAVEO,85,76
1317,DE LIRA,85,77
1318,ENTZIN,85,49
1319,GERALDO,85,90
1320,MIS,85,55
1321,QUINONES,85,105
1322,RAYMUNDO,85,97
1323,SIMENTAL,85,80
1324,URESTI,85,83
1325,ZERMEÑO,85,74
1326,CAMILO,84,53
1327,COB,84,86
1328,FRAIRE,84,87
1329,GAYOSSO,84,122
1330,LOZOYA,84,109
1331,OLIVER,84,87
1332,PASILLAS,84,70
1333,PIZANO,84,93
1334,PLAZA,84,69
1335,URIARTE,84,84
1336,AVELINO,83,75
1337,CAMPOY,83,62
1338,CAPETILLO,83,71
1339,CHAVERO,83,106
1340,DELOYA,83,78
1341,GONZAGA,83,124
1342,GRANILLO,83,74
1343,LORENZANA,83,81
1344,MARTELL,83,79
1345,RAMIRO,83,107
1346,SAMPEDRO,83,108
1347,SERAFIN,83,104
1348,VARGUEZ,83,108
1349,AVENDANO,82,83
1350,CABAÑAS,82,111
1351,COMPEAN,82,72
1352,LICEA,82,96
1353,LOMAS,82,88
1354,MONTER,82,82
1355,ORTEGON,82,85
1356,PANTALEON,82,99
1357,PELCASTRE,82,79
1358,REJON,82,59
1359,VERDE,82,87
1360,APONTE,81,58
1361,ATILANO,81,98
1362,CHAGOYA,81,87
1363,ITURBIDE,81,102
1364,LEGORRETA,81,90
1365,LIMAS,81,58
1366,MAYORQUIN,81,82
1367,NINO,81,61
1368,PENALOZA,81,78
1369,PUCH,81,79
1370,PUERTO,81,85
1371,SALGUERO,81,68
1372,AVITIA,80,70
1373,CASTANON,80,74
1374,CRISOSTOMO,80,72
1375,CUESTA,80,51
1376,MARCELO,80,83
1377,MIRON,80,99
1378,PALACIO,80,86
1379,XOLALPA,80,61
1380,AMEZQUITA,79,85
1381,AZAMAR,79,60
1382,BALBOA,79,65
1383,BARRALES,79,86
1384,EGUIA,79,104
1385,ESCANDON,79,74
1386,GERVACIO,79,80
1387,LINO,79,81
1388,LUJANO,79,56
1389,MANCILLAS,79,53
1390,MAZARIEGOS,79,87
1391,ORONA,79,60
1392,PAZOS,79,61
1393,ROCHIN,79,74
1394,BERMEJO,78,72
1395,CEDANO,78,85
1396,CIGARROA,78,68
1397,GUIZAR,78,60
1398,ROGEL,78,90
1399,SALADO,78,60
1400,ACUNA,77,59
1401,CEREZO,77,85
1402,CULEBRO,77,73
1403,GIJON,77,59
1404,NUÃ¿EZ,77,66
1405,OLIVEROS,77,112
1406,OSEGUERA,77,57
1407,TRIANA,77,73
1408,CHIN,76,59
1409,LARES,76,63
1410,MONTA%O,76,60
1411,RUMBO,76,60
1412,ZAPIEN,76,66
1413,ARRIOLA,75,88
1414,CIENFUEGOS,75,69
1415,CORRO,75,76
1416,DEL CASTILLO,75,83
1417,ESCOTO,75,69
1418,LANDAVERDE,75,50
1419,ORDUÑO,75,86
1420,PINACHO,75,39
1421,RETANA,75,79
1422,SANTANDER,75,71
1423,ZENDEJAS,75,68
1424,CASTELLON,74,75
1425,COLLADO,74,56
1426,LEOS,74,91
1427,MAAS,74,86
1428,MIER,74,56
1429,MU#OZ,74,94
1430,QUIRINO,74,55
1431,TAMAY,74,64
1432,ARGUETA,73,92
1433,ARISTA,73,52
1434,BASULTO,73,73
1435,BOLANOS,73,78
1436,CATARINO,73,59
1437,CRISPIN,73,70
1438,DE ALBA,73,64
1439,ESPINOBARROS,73,67
1440,GUADALUPE,73,149
1441,HORTA,73,88
1442,JARDON,73,76
1443,LAMAS,73,81
1444,LUQUE,73,73
1445,MAZON,73,77
1446,TEODORO,73,55
1447,ZEFERINO,73,76
1448,ESPEJO,72,68
1449,ITURBE,72,66
1450,MILAN,72,60
1451,MORQUECHO,72,75
1452,OLARTE,72,81
1453,TREVI#O,72,64
1454,ANASTACIO,71,59
1455,BRAMBILA,71,93
1456,CIPRIANO,71,58
1457,MACEDA,71,74
1458,MONGE,71,55
1459,MONTANEZ,71,72
1460,VERASTEGUI,71,64
1461,ZALETA,71,65
1462,ANIMAS,70,28
1463,CARRAZCO,70,87
1464,DE LA MORA,70,69
1465,NATAREN,70,70
1466,ORDOÏ¿½EZ,70,89
1467,REBOLLO,70,47
1468,RUFINO,70,73
1469,SANTIBAÑEZ,70,64
1470,TOBIAS,70,69
1471,VELIZ,70,65
1472,BRICE%O,69,40
1473,CASIMIRO,69,79
1474,COCA,69,60
1475,DEL CARMEN,69,53
1476,GAITAN,69,100
1477,MANZANILLA,69,89
1478,MINA,69,55
1479,POBLANO,69,80
1480,ROSA,69,125
1481,ROSENDO,69,63
1482,VIZCAINO,69,53
1483,XOOL,69,101
1484,ZUÃ¿IGA,69,74
1485,ALDAPE,68,46
1486,AYUSO,68,42
1487,BERISTAIN,68,83
1488,BRINGAS,68,67
1489,CLARA,68,70
1490,DE LA CERDA,68,59
1491,ESPERICUETA,68,90
1492,GUEL,68,71
1493,I%IGUEZ,68,55
1494,KOYOC,68,38
1495,LLANAS,68,86
1496,LUVIANO,68,85
1497,MAYEN,68,62
1498,MELENDREZ,68,80
1499,PIZA,68,56
1500,ROLON,68,53
1501,SAHAGUN,68,60
1502,VANEGAS,68,82
1503,ZAYAS,68,61
1504,CARDIEL,67,78
1505,CARRION,67,73
1506,CHALE,67,76
1507,ENCINO,67,50
1508,EUGENIO,67,51
1509,FACUNDO,67,67
1510,GUDIÑO,67,86
1511,JORGE,67,102
1512,LASTRA,67,44
1513,LAZO,67,68
1514,MAS,67,78
1515,NAZARIO,67,71
1516,SABINO,67,57
1517,TAVIRA,67,56
1518,TIJERINA,67,96
1519,VAQUERA,67,75
1520,VILLAGRANA,67,65
1521,BACAB,66,64
1522,CANDELARIA,66,70
1523,CETZ,66,44
1524,CHAVARIN,66,65
1525,CORTAZAR,66,58
1526,GUARNEROS,66,65
1527,LAUREL,66,70
1528,LUGARDO,66,53
1529,MARINO,66,79
1530,MATAMOROS,66,61
1531,MORFIN,66,65
1532,MORONES,66,55
1533,OCAÏ¿½A,66,58
1534,PARGA,66,85
1535,PEREIRA,66,58
1536,RAYAS,66,77
1537,SOBERANO,66,56
1538,TORREZ,66,81
1539,UTRERA,66,94
1540,UTRILLA,66,70
1541,VICTORIO,66,73
1542,APOLINAR,65,70
1543,AZCORRA,65,48
1544,CHIM,65,70
1545,ILLESCAS,65,42
1546,MELGOZA,65,79
1547,NARCISO,65,65
1548,ORTIGOZA,65,62
1549,PALOMEQUE,65,63
1550,PENICHE,65,57
1551,POZO,65,63
1552,TAVARES,65,60
1553,VIGIL,65,72
1554,VILLAMIL,65,91
1555,WALLE,65,69
1556,ARCHUNDIA,64,74
1557,BACILIO,64,45
1558,CALVARIO,64,57
1559,COLMENARES,64,90
1560,CUPUL,64,63
1561,FRAGA,64,60
1562,HONORATO,64,64
1563,JOAQUIN,64,101
1564,LEINES,64,23
1565,LOYO,64,70
1566,MASCORRO,64,84
1567,MENDO,64,51
1568,OBISPO,64,62
1569,ORDUÑA,64,84
1570,PEREDO,64,68
1571,PORTUGAL,64,49
1572,REVELES,64,84
1573,REVILLA,64,78
1574,SANTA,64,64
1575,SOTOMAYOR,64,43
1576,TURRUBIATES,64,68
1577,ZAGAL,64,40
1578,ZUÏ¿½IGA,64,84
1579,AMBROCIO,63,60
1580,AVENA,63,55
1581,BRICEÑO,63,68
1582,CHAIRES,63,80
1583,CHAVELAS,63,65
1584,CHONG,63,63
1585,COYOTE,63,33
1586,DIOSDADO,63,50
1587,ESQUINCA,63,73
1588,JOCOBI,63,77
1589,JOYA,63,37
1590,LAUREANO,63,68
1591,MADERO,63,93
1592,PALOS,63,57
1593,POBLETE,63,60
1594,SAGAHON,63,66
1595,SUSTAITA,63,78
1596,TAH,63,31
1597,ALDAY,62,49
1598,ALEJOS,62,66
1599,BEAS,62,45
1600,CANDELARIO,62,58
1601,CEH,62,57
1602,DAVIS,62,85
1603,DE LOS,62,60
1604,DE LOS REYES,62,54
1605,DUENAS,62,53
1606,ESPINAL,62,46
1607,GALLO,62,71
1608,IÑIGUEZ,62,77
1609,MAQUEDA,62,62
1610,MTEZ,62,86
1611,PARAMO,62,62
1612,POLITO,62,45
1613,RUBALCAVA,62,49
1614,URBAN,62,56
1615,VALDIVIEZO,62,57
1616,ABADIA,61,48
1617,ALBINO,61,88
1618,BAAS,61,49
1619,BOLIVAR,61,54
1620,MANZANERO,61,55
1621,NERIA,61,86
1622,OSNAYA,61,58
1623,REDONDO,61,50
1624,REY,61,75
1625,SIMBRON,61,55
1626,TELLES,61,46
1627,ZATARAIN,61,52
1628,ZEA,61,65
1629,ASCENCION,60,48
1630,ATONAL,60,33
1631,BASTO,60,78
1632,CAÑEDO,60,41
1633,DIONISIO,60,51
1634,FLETES,60,62
1635,HERMIDA,60,51
1636,HOIL,60,54
1637,MARQUINA,60,52
1638,MERLIN,60,73
1639,PLATAS,60,62
1640,ROJANO,60,83
1641,SECUNDINO,60,51
1642,TEJERO,60,79
1643,VALDERRABANO,60,51
1644,VALERIANO,60,59
1645,VILLAFAÑA,60,60
1646,BANDALA,59,53
1647,CASIQUE,59,50
1648,DEHESA,59,57
1649,GRACIANO,59,51
1650,MAGALLON,59,65
1651,MARRON,59,43
1652,MIJARES,59,42
1653,MORADO,59,59
1654,MORGAN,59,64
1655,NOGUEDA,59,60
1656,ORGANISTA,59,54
1657,PAULINO,59,72
1658,SALDA!A,59,54
1659,TABARES,59,49
1660,TORIZ,59,61
1661,VICARIO,59,40
1662,BASTIDAS,58,44
1663,CERNA,58,57
1664,DE LA PEÑA,58,67
1665,JORDAN,58,78
1666,LABRA,58,86
1667,LOAIZA,58,90
1668,OLIVAREZ,58,75
1669,ORANTES,58,66
1670,PERCASTEGUI,58,24
1671,PEREGRINO,58,72
1672,PEÑUELAS,58,40
1673,PLUMA,58,40
1674,RUGERIO,58,43
1675,VALENZO,58,41
1676,YA%EZ,58,43
1677,ALTUZAR,57,51
1678,AMARILLAS,57,42
1679,BALANZAR,57,64
1680,CABANAS,57,52
1681,CABANILLAS,57,49
1682,CAJERO,57,38
1683,ESCUTIA,57,69
1684,HAAS,57,68
1685,IRIGOYEN,57,49
1686,MARAVILLA,57,60
1687,MONJARAS,57,62
1688,PANTI,57,52
1689,PE!ALOZA,57,54
1690,REQUENA,57,73
1691,TOALA,57,36
1692,ALVIZO,56,61
1693,BERRONES,56,66
1694,CANIZALES,56,64
1695,CAPISTRAN,56,47
1696,CASTILLON,56,47
1697,JONGUITUD,56,50
1698,PATLAN,56,69
1699,PEÏ¿½ATE,56,43
1700,SANTIZO,56,38
1701,TAFOYA,56,60
1702,UVALLE,56,37
1703,ABREU,55,51
1704,AC,55,54
1705,ALMEYDA,55,32
1706,ARAMBURO,55,59
1707,BURGARA,55,67
1708,CHAB,55,36
1709,CHIÑAS,55,46
1710,DOMINGO,55,42
1711,ELIZARRARAS,55,32
1712,GALINDEZ,55,34
1713,GODINA,55,54
1714,HERRADA,55,55
1715,LAGOS,55,58
1716,MATOS,55,57
1717,MONJARAZ,55,58
1718,OLIVAR,55,41
1719,PIEDRAS,55,48
1720,RUBI,55,49
1721,SILLAS,55,64
1722,AMADO,54,64
1723,BENITES,54,47
1724,BONIFAZ,54,53
1725,BUCIO,54,57
1726,CARDOZO,54,54
1727,CATZIN,54,62
1728,CHAMORRO,54,44
1729,DEGOLLADO,54,31
1730,ESCORZA,54,49
1731,EUSEBIO,54,45
1732,GRACIDA,54,73
1733,HINOJOS,54,73
1734,ISIDORO,54,40
1735,MARCELINO,54,43
1736,PEÃ¿A,54,46
1737,PI%A,54,35
1738,REYNAGA,54,71
1739,SOLTERO,54,52
1740,A!ORVE,53,25
1741,ALDAZ,53,41
1742,BALLEZA,53,49
1743,COBA,53,45
1744,CRISANTO,53,34
1745,FLORENTINO,53,47
1746,MASTACHE,53,45
1747,MEXICANO,53,52
1748,MODESTO,53,49
1749,PEINADO,53,63
1750,SANTIS,53,50
1751,URREA,53,48
1752,ALMADA,52,51
1753,BARAHONA,52,38
1754,BORQUEZ,52,42
1755,BURGUEÑO,52,43
1756,HIGAREDA,52,36
1757,HUCHIM,52,72
1758,IBANEZ,52,60
1759,INDA,52,44
1760,LIMONES,52,34
1761,NAHUAT,52,31
1762,PASOS,52,70
1763,QUINTO,52,54
1764,SILOS,52,43
1765,TZAB,52,50
1766,ABOYTES,51,51
1767,ALTO,51,35
1768,ALVIDREZ,51,53
1769,AMARAL,51,44
1770,BATISTA,51,36
1771,BRINDIS,51,36
1772,CABA!AS,51,66
1773,CAHUN,51,58
1774,CANTERA,51,26
1775,CARTAS,51,41
1776,CESE!A,51,54
1777,COSSIO,51,56
1778,CUAUTLE,51,58
1779,DOROTEO,51,48
1780,ESPAÑA,51,56
1781,IRACHETA,51,49
1782,MAGOS,51,55
1783,MESA,51,44
1784,ORENDAY,51,68
1785,PALLARES,51,46
1786,PALOMERA,51,78
1787,POLO,51,79
1788,RICARDO,51,55
1789,SAMPERIO,51,48
1790,SANMIGUEL,51,39
1791,SASTRE,51,75
1792,SEVERIANO,51,46
1793,TIZNADO,51,53
1794,ANCHONDO,50,50
1795,BUTRON,50,57
1796,CASTRUITA,50,41
1797,CEBREROS,50,72
1798,CERROS,50,45
1799,COHUO,50,41
1800,GAMIÑO,50,60
1801,HERAS,50,75
1802,HUICOCHEA,50,51
1803,ITZA,50,42
1804,KOH,50,41
1805,MACHORRO,50,39
1806,OLAGUE,50,43
1807,OMAÑA,50,38
1808,ORDO#EZ,50,46
1809,ORELLAN,50,35
1810,PECINA,50,63
1811,QUISTIAN,50,46
1812,RETA,50,63
1813,SERRATOS,50,47
1814,TLAPALE,50,23
1815,TZEC,50,64
1816,VIDALS,50,46
1817,CAMPAS,49,44
1818,CAMPILLO,49,46
1819,CHIU,49,38
1820,COSS,49,36
1821,DAZA,49,57
1822,ESCARCEGA,49,78
1823,FONTES,49,45
1824,GUEMEZ,49,48
1825,JARILLO,49,43
1826,NEPOMUCENO,49,30
1827,PIZAÑA,49,34
1828,SALAMANCA,49,64
1829,TRONCOSO,49,46
1830,VIDRIO,49,46
1831,VIRAMONTES,49,62
1832,AGUIÑAGA,48,57
1833,ALDERETE,48,49
1834,ALVEAR,48,46
1835,BARANDA,48,44
1836,BARRUETA,48,51
1837,BENAVIDEZ,48,58
1838,BENCOMO,48,43
1839,BERLANGA,48,58
1840,CAMBEROS,48,36
1841,COCOLETZI,48,26
1842,DE LA SANCHA,48,43
1843,LAREDO,48,43
1844,LEONARDO,48,37
1845,MANILLA,48,31
1846,MARTIN DEL CAMPO,48,33
1847,MUCIÑO,48,46
1848,NU%O,48,53
1849,POMPA,48,46
1850,PORTALES,48,54
1851,REGINO,48,52
1852,TACUBA,48,47
1853,XOCHIPA,48,43
1854,AMIGON,47,39
1855,AVENDAÃ¿O,47,34
1856,CANELA,47,36
1857,CHICO,47,26
1858,CIFUENTES,47,56
1859,COSTILLA,47,37
1860,DE HARO,47,38
1861,DEL MORAL,47,77
1862,ELVIRA,47,44
1863,ESCAREÑO,47,50
1864,FAZ,47,44
1865,GAETA,47,37
1866,MONCAYO,47,48
1867,PISCIL,47,40
1868,PIZARRO,47,67
1869,QUERO,47,39
1870,RAYO,47,62
1871,SALDIERNA,47,26
1872,SIORDIA,47,44
1873,SOBREVILLA,47,63
1874,SONI,47,49
1875,TRIGUEROS,47,42
1876,TRUJEQUE,47,35
1877,VICTORINO,47,59
1878,VIVERO,47,22
1879,XOCHIHUA,47,38
1880,ARIZPE,46,50
1881,ARRATIA,46,56
1882,BA%UELOS,46,48
1883,CAMERO,46,35
1884,CIBRIAN,46,64
1885,COLON,46,44
1886,CORTINAS,46,44
1887,CUEVA,46,43
1888,CUSTODIO,46,44
1889,ESCORCIA,46,46
1890,ESTEVA,46,66
1891,FAVILA,46,35
1892,FONG,46,26
1893,GABINO,46,48
1894,GOPAR,46,71
1895,HERMENEGILDO,46,43
1896,JAIMEZ,46,49
1897,JIJON,46,59
1898,LORETO,46,56
1899,MAXIMO,46,35
1900,OLACHEA,46,44
1901,PALESTINA,46,41
1902,PATI!O,46,36
1903,QUE,46,42
1904,SILVAN,46,31
1905,SULUB,46,49
1906,SUMANO,46,28
1907,TRUJANO,46,38
1908,URBIETA,46,37
1909,ALCUDIA,45,39
1910,ANZUREZ,45,38
1911,ATZIN,45,25
1912,AZUA,45,52
1913,CALLES,45,40
1914,COPADO,45,35
1915,FERREIRA,45,55
1916,GRESS,45,42
1917,LANGARICA,45,44
1918,MALACARA,45,38
1919,MARCHAN,45,48
1920,MONTUFAR,45,55
1921,MOZO,45,34
1922,NAH,45,51
1923,NESTOR,45,42
1924,PAULIN,45,38
1925,PEREGRINA,45,38
1926,PROCOPIO,45,44
1927,REFUGIO,45,23
1928,RUZ,45,42
1929,SAGRERO,45,26
1930,SALOME,45,48
1931,SAMAYOA,45,66
1932,SILLER,45,43
1933,SOL,45,41
1934,UH,45,41
1935,VAQUERO,45,44
1936,VASCONCELOS,45,45
1937,VIDAÑA,45,50
1938,VILLARRUEL,45,56
1939,ZERTUCHE,45,46
1940,ABRAHAM,44,41
1941,ALDACO,44,68
1942,ALFONZO,44,37
1943,ALMENDAREZ,44,48
1944,ANDRACA,44,57
1945,ARGUMEDO,44,47
1946,AVENDAÏ¿½O,44,52
1947,BARREDA,44,30
1948,BELMONTE,44,54
1949,BLANCARTE,44,35
1950,CASTA!ON,44,27
1951,CHIRINO,44,40
1952,CRUCES,44,31
1953,CUADRAS,44,26
1954,DEL REAL,44,60
1955,FERMIN,44,81
1956,FITZ,44,39
1957,FUERTE,44,45
1958,GONZALES,44,53
1959,MACEDONIO,44,46
1960,MORGA,44,61
1961,MU!IZ,44,42
1962,OROS,44,22
1963,PLANCARTE,44,29
1964,RECIO,44,56
1965,SAÑUDO,44,31
1966,SIGALA,44,51
1967,TAGLE,44,62
1968,UBALDO,44,52
1969,VALENCIANO,44,31
1970,VERTIZ,44,29
1971,ZARZA,44,54
1972,ZEBADUA,44,29
1973,CABUTO,43,24
1974,CACHO,43,40
1975,CACHON,43,35
1976,CAMBERO,43,41
1977,CAMBRANIS,43,43
1978,CANDELAS,43,39
1979,CARRIZALEZ,43,27
1980,CHAIDEZ,43,53
1981,CHANONA,43,40
1982,EVARISTO,43,48
1983,FACIO,43,39
1984,GAMERO,43,34
1985,LUENGAS,43,42
1986,MANCHA,43,46
1987,MATUZ,43,61
1988,MOLANO,43,23
1989,MONARREZ,43,60
1990,MONTEALEGRE,43,47
1991,MONTEJANO,43,58
1992,MOREIRA,43,19
1993,PALAZUELOS,43,36
1994,SAMPAYO,43,49
1995,SILVEIRA,43,30
1996,SOLAR,43,47
1997,SUASTE,43,43
1998,VILLASE%OR,43,54
1999,ALATRISTE,42,39
2000,CACH,42,22
2001,CASASOLA,42,32
2002,COLMENERO,42,42
2003,CUTZ,42,46
2004,IRIBE,42,35
2005,JULIO,42,45
2006,KAUIL,42,35
2007,MONTA!O,42,70
2008,MONTOR,42,29
2009,SALES,42,41
2010,SANDATE,42,15
2011,SANGUINO,42,34
2012,SURIANO,42,39
2013,TLATELPA,42,38
2014,VILLARINO,42,37
2015,ARADILLAS,41,46
2016,CARRENO,41,44
2017,CASTELO,41,21
2018,CERRILLO,41,30
2019,CHANG,41,59
2020,CINTORA,41,30
2021,CUNDAPI,41,24
2022,KEB,41,61
2023,MACARIO,41,51
2024,MARINES,41,29
2025,NOLAZCO,41,24
2026,OCON,41,31
2027,PREZA,41,25
2028,SAN AGUSTIN,41,41
2029,TECPA,41,42
2030,TOVIAS,41,38
2031,XIU,41,41
2032,ABUNDEZ,40,31
2033,ACERO,40,39
2034,ALOR,40,52
2035,AMPARO,40,48
2036,ARRAZOLA,40,53
2037,BE,40,52
2038,BERZUNZA,40,41
2039,BRISENO,40,50
2040,CANTE,40,38
2041,CASTOR,40,30
2042,CHIQUITO,40,32
2043,CLIMACO,40,24
2044,COUTIÃ¿O,40,53
2045,CUAMATZI,40,60
2046,DE AQUINO,40,26
2047,ECHEVARRIA,40,37
2048,LECONA,40,33
2049,LIERA,40,31
2050,MEJORADO,40,27
2051,MISS,40,29
2052,PANDURO,40,18
2053,PAZARAN,40,27
2054,REMIGIO,40,32
2055,RODEA,40,39
2056,ROSILES,40,25
2057,TARANGO,40,76
2058,TORRE,40,30
2059,TREVIZO,40,47
2060,VIELMA,40,55
2061,ZEPAHUA,40,39
2062,AGUAS,39,48
2063,ARANO,39,35
2064,AUDELO,39,37
2065,BOLA!OS,39,22
2066,BOLOM,39,27
2067,CAMPECHANO,39,29
2068,CANTOR,39,46
2069,CANTORAN,39,33
2070,CECILIO,39,16
2071,CESEÑA,39,27
2072,CLAUDIO,39,37
2073,DEL CARPIO,39,25
2074,DURAZO,39,37
2075,ESPINA,39,33
2076,LEE,39,58
2077,LIBRADO,39,21
2078,LLAVEN,39,47
2079,LOVERA,39,45
2080,LULE,39,41
2081,MUÐOZ,39,44
2082,NEBUAY,39,34
2083,NOTARIO,39,40
2084,NOVOA,39,58
2085,NU#EZ,39,40
2086,OCEGUERA,39,59
2087,OYERVIDES,39,52
2088,PARRILLA,39,22
2089,SAYAGO,39,33
